,dataset,ssim_norm,ssim
335,ShanghaiTech_part_B,0.41754263639450073,0.3994239568710327
336,ShanghaiTech_part_B,0.8879185318946838,0.8608527779579163
337,ShanghaiTech_part_B,0.6443443894386292,0.6049705743789673
338,ShanghaiTech_part_B,0.35017502307891846,0.2157367467880249
339,ShanghaiTech_part_B,0.9123173356056213,0.9067963361740112
340,ShanghaiTech_part_B,0.8428530097007751,0.8717635273933411
341,ShanghaiTech_part_B,0.8711203932762146,0.9017176628112793
342,ShanghaiTech_part_B,0.8911678194999695,0.9016780853271484
343,ShanghaiTech_part_B,0.3051397502422333,0.2676735520362854
344,ShanghaiTech_part_B,0.8899978399276733,0.908486545085907
345,ShanghaiTech_part_B,0.9126445055007935,0.826937198638916
346,ShanghaiTech_part_B,0.8998972177505493,0.8903438448905945
347,ShanghaiTech_part_B,0.9318281412124634,0.9344775080680847
348,ShanghaiTech_part_B,0.5387831330299377,0.5307011604309082
349,ShanghaiTech_part_B,0.378173291683197,0.3101898729801178
350,ShanghaiTech_part_B,0.2996864318847656,0.22675901651382446
351,ShanghaiTech_part_B,0.7113321423530579,0.7221675515174866
352,ShanghaiTech_part_B,0.9033908247947693,0.9149298667907715
353,ShanghaiTech_part_B,0.5479737520217896,0.5669981837272644
354,ShanghaiTech_part_B,0.7614302635192871,0.7349013090133667
355,ShanghaiTech_part_B,0.878152072429657,0.7911869287490845
356,ShanghaiTech_part_B,0.8377913236618042,0.5222377777099609
357,ShanghaiTech_part_B,0.6072773933410645,0.6138345003128052
358,ShanghaiTech_part_B,0.944144070148468,0.9483593106269836
359,ShanghaiTech_part_B,0.5418499708175659,0.29827943444252014
360,ShanghaiTech_part_B,0.3204937279224396,0.10833221673965454
361,ShanghaiTech_part_B,0.5187171101570129,0.5731216669082642
362,ShanghaiTech_part_B,0.5677889585494995,0.5962164998054504
363,ShanghaiTech_part_B,0.8838050961494446,0.8881522417068481
364,ShanghaiTech_part_B,0.8563228249549866,0.880839467048645
365,ShanghaiTech_part_B,0.9602923393249512,0.9665883183479309
366,ShanghaiTech_part_B,0.7057095170021057,0.6853431463241577
